,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1,,Real,RF pred,RF result,SVM pred,SVM result,,,no data,--,,
71,129,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
72,130,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
73,131,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
74,132,1,2,0,0,3,0,,1,down,rd,down,rd,,,,,,
75,133,1,2,0,1,2,0,,1,down,rd,down,rd,,,,,,
76,134,2,0,0,1,1,0,,1,rise,rr,-1,r-1,,,,,,
77,135,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
78,136,3,2,0,2,3,0,,1,rise,rr,down,rd,,,,,,
79,137,2,1,0,0,3,0,,0,rise,dr,down,dd,,,,,,
80,138,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
81,139,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
82,140,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
83,141,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
84,142,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
85,143,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
86,144,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
87,145,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
88,146,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
89,147,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
90,148,1,2,0,1,2,0,,0,down,dd,down,dd,,,,,,
91,149,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
92,150,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
93,151,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
94,152,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
95,153,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
96,154,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
97,155,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
98,156,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
99,157,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
100,158,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
101,159,1,4,0,1,4,0,,0,down,dd,down,dd,,,,,,
102,160,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
103,161,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
104,162,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
105,163,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
106,164,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
107,165,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
108,166,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
109,167,1,1,0,1,1,0,,1,-1,r-1,-1,r-1,,,,,,
110,168,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
111,169,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
112,170,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
113,171,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,,,,
114,172,0,6,0,0,6,0,,1,down,rd,down,rd,,,,,,
115,173,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
116,174,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
117,175,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
118,176,1,2,0,0,3,0,,1,down,rd,down,rd,,,,,,
119,177,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
120,178,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
121,179,1,4,0,1,4,0,,1,down,rd,down,rd,,,,,,
122,180,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
123,181,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
124,182,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
125,183,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
126,184,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
127,185,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
128,186,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
129,187,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
130,188,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
131,189,1,1,1,0,2,1,,0,-1,d-1,down,dd,,,,,,
132,190,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
133,191,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
134,192,2,2,0,1,3,0,,0,-1,d-1,down,dd,,,,,,
135,193,1,2,0,1,2,0,,0,down,dd,down,dd,,,,,,
136,194,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
137,195,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
138,196,0,4,0,0,4,0,,0,down,dd,down,dd,,,,,,
139,197,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
140,198,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
141,199,1,2,0,1,2,0,,1,down,rd,down,rd,,,,,,
142,200,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
143,201,0,4,0,0,4,0,,1,down,rd,down,rd,,,,,,
144,202,0,4,0,0,4,0,,0,down,dd,down,dd,,,,,,
145,203,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
146,204,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
147,205,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
148,206,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
149,207,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
150,208,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
151,209,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
152,210,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
153,211,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
154,212,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
155,213,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
156,214,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
157,215,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
158,216,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
159,217,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
160,218,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
161,219,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
162,220,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
163,221,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
164,222,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
165,223,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
166,224,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
167,225,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
168,226,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
169,227,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
170,228,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
171,229,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
172,230,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
173,231,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
174,232,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
175,233,1,2,0,0,3,0,,1,down,rd,down,rd,,,,,,
176,234,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
177,235,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
178,236,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
179,237,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
180,238,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
181,239,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
182,240,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
183,241,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
184,242,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
185,243,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
186,244,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
187,245,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
188,246,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
189,247,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
190,248,3,3,0,2,4,0,,1,-1,r-1,down,rd,,,,,,
191,249,2,3,0,0,5,0,,1,down,rd,down,rd,,,,,,
192,250,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
193,251,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
194,252,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
195,253,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
196,254,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
197,255,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
198,256,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
199,257,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
200,258,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
201,259,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
202,260,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
203,261,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
204,262,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
205,263,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
206,264,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
207,265,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
208,266,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
209,267,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
210,268,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
211,269,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
212,270,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
213,271,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
214,272,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
215,273,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
216,274,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
