,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1,,Real,RF pred,RF result,SVM pred,SVM result,,,no data,--,,
372,430,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
373,431,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
374,432,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
375,433,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,,,,
376,434,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
377,435,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
378,436,2,2,0,1,3,0,,0,-1,d-1,down,dd,,,,,,
379,437,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
380,438,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
381,439,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
382,440,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
383,441,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
384,442,1,3,0,1,3,0,,0,down,dd,down,dd,,,,,,
385,443,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
386,444,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
387,445,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
388,446,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
389,447,2,1,0,1,2,0,,0,rise,dr,down,dd,,,,,,
390,448,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
391,449,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
392,450,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
393,451,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
394,452,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
395,453,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
396,454,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
397,455,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
398,456,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
399,457,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
400,458,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
401,459,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
402,460,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
403,461,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
404,462,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
405,463,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
406,464,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
407,465,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
408,466,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
409,467,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
410,468,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
411,469,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
412,470,1,0,0,1,0,0,,0,rise,dr,rise,dr,,,,,,
413,471,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
414,472,1,0,0,1,0,0,,1,rise,rr,rise,rr,,,,,,
415,473,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
416,474,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
417,475,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
418,476,1,0,0,1,0,0,,1,rise,rr,rise,rr,,,,,,
419,477,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
420,478,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
421,479,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
422,480,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
423,481,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
424,482,1,0,0,1,0,0,,1,rise,rr,rise,rr,,,,,,
425,483,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
426,484,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
427,485,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
428,486,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
429,487,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
430,488,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
431,489,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
432,490,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
433,491,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
434,492,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
435,493,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
436,494,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
437,495,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
438,496,0,2,0,1,1,0,,0,down,dd,-1,d-1,,,,,,
439,497,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
440,498,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
441,499,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
442,500,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
443,501,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
444,502,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
445,503,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
446,504,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
447,505,1,1,0,1,1,0,,0,-1,d-1,-1,d-1,,,,,,
448,506,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
449,507,0,2,0,1,1,0,,1,down,rd,-1,r-1,,,,,,
450,508,0,5,0,1,4,0,,0,down,dd,down,dd,,,,,,
451,509,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
452,510,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
453,511,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
454,512,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
455,513,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
456,514,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
457,515,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
458,516,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
459,517,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
460,518,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
461,519,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
462,520,1,4,0,1,4,0,,0,down,dd,down,dd,,,,,,
463,521,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
464,522,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
465,523,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
466,524,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
467,525,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
468,526,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
469,527,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
470,528,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
471,529,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
472,530,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
473,531,3,2,0,2,3,0,,1,rise,rr,down,rd,,,,,,
474,532,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
475,533,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
476,534,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
477,535,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
478,536,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
479,537,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
480,538,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
481,539,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
482,540,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
483,541,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
484,542,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
485,543,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
486,544,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
487,545,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
488,546,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
489,547,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
490,548,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
491,549,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
492,550,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
493,551,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
494,552,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
495,553,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
496,554,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
497,555,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
498,556,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
499,557,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
500,558,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
501,559,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
502,560,4,0,0,2,2,0,,1,rise,rr,-1,r-1,,,,,,
503,561,1,0,0,0,1,0,,1,rise,rr,down,rd,,,,,,
504,562,1,0,0,0,1,0,,1,rise,rr,down,rd,,,,,,
505,563,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
506,564,1,0,0,0,1,0,,0,rise,dr,down,dd,,,,,,
507,565,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
508,566,1,0,0,0,1,0,,0,rise,dr,down,dd,,,,,,
509,567,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
510,568,1,0,0,0,1,0,,0,rise,dr,down,dd,,,,,,
511,569,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
512,570,1,3,0,1,3,0,,1,down,rd,down,rd,,,,,,
513,571,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
514,572,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
515,573,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
516,574,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
517,575,1,0,0,0,1,0,,0,rise,dr,down,dd,,,,,,
518,576,1,0,0,0,1,0,,1,rise,rr,down,rd,,,,,,
519,577,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
520,578,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
521,579,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
522,580,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
523,581,1,0,0,0,1,0,,1,rise,rr,down,rd,,,,,,
524,582,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
525,583,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
526,584,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
527,585,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
528,586,1,1,0,0,2,0,,1,-1,r-1,down,rd,,,,,,
529,587,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
530,588,1,0,0,0,1,0,,1,rise,rr,down,rd,,,,,,
531,589,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
532,590,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
533,591,1,0,0,0,1,0,,0,rise,dr,down,dd,,,,,,
534,592,1,0,0,0,1,0,,1,rise,rr,down,rd,,,,,,
535,593,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
536,594,3,0,0,1,2,0,,0,rise,dr,down,dd,,,,,,
537,595,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
538,596,2,0,0,1,1,0,,0,rise,dr,-1,d-1,,,,,,
539,597,2,5,0,4,3,0,,0,down,dd,rise,dr,,,,,,
540,598,4,3,0,4,3,0,,0,rise,dr,rise,dr,,,,,,
541,599,1,2,0,1,2,0,,1,down,rd,down,rd,,,,,,
542,600,2,0,0,0,2,0,,0,rise,dr,down,dd,,,,,,
543,601,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
544,602,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
545,603,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
546,604,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
547,605,1,1,0,1,1,0,,1,-1,r-1,-1,r-1,,,,,,
548,606,4,2,0,3,3,0,,1,rise,rr,-1,r-1,,,,,,
549,607,8,0,0,3,5,0,,0,rise,dr,down,dd,,,,,,
550,608,4,4,0,3,5,0,,1,-1,r-1,down,rd,,,,,,
551,609,6,5,0,6,5,0,,1,rise,rr,rise,rr,,,,,,
552,610,0,7,0,0,7,0,,1,down,rd,down,rd,,,,,,
553,611,5,10,0,4,11,0,,1,down,rd,down,rd,,,,,,
554,612,3,8,0,3,8,0,,0,down,dd,down,dd,,,,,,
555,613,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
556,614,1,5,0,1,5,0,,1,down,rd,down,rd,,,,,,
557,615,2,6,0,2,6,0,,1,down,rd,down,rd,,,,,,
558,616,0,4,0,0,4,0,,0,down,dd,down,dd,,,,,,
559,617,1,7,0,0,8,0,,1,down,rd,down,rd,,,,,,
560,618,0,8,0,0,8,0,,1,down,rd,down,rd,,,,,,
561,619,1,5,0,1,5,0,,0,down,dd,down,dd,,,,,,
562,620,0,5,0,0,5,0,,1,down,rd,down,rd,,,,,,
563,621,1,4,0,1,4,0,,0,down,dd,down,dd,,,,,,
564,622,0,5,0,0,5,0,,1,down,rd,down,rd,,,,,,
565,623,2,6,0,2,6,0,,0,down,dd,down,dd,,,,,,
566,624,2,9,0,1,10,0,,0,down,dd,down,dd,,,,,,
567,625,1,10,0,0,11,0,,1,down,rd,down,rd,,,,,,
568,626,4,4,0,2,6,0,,1,-1,r-1,down,rd,,,,,,
569,627,1,17,0,3,15,0,,1,down,rd,down,rd,,,,,,
570,628,0,7,0,0,7,0,,1,down,rd,down,rd,,,,,,
571,629,0,10,0,0,10,0,,0,down,dd,down,dd,,,,,,
572,630,1,11,0,1,11,0,,1,down,rd,down,rd,,,,,,
573,631,4,4,0,3,5,0,,0,-1,d-1,down,dd,,,,,,
574,632,2,4,0,2,4,0,,1,down,rd,down,rd,,,,,,
575,633,6,3,0,4,5,0,,0,rise,dr,down,dd,,,,,,
576,634,9,1,0,4,6,0,,1,rise,rr,down,rd,,,,,,
577,635,1,3,0,1,3,0,,0,down,dd,down,dd,,,,,,
578,636,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
579,637,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
580,638,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
581,639,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
582,640,3,4,0,3,4,0,,1,down,rd,down,rd,,,,,,
583,641,5,3,0,4,4,0,,0,rise,dr,-1,d-1,,,,,,
584,642,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
585,643,4,1,0,3,2,0,,1,rise,rr,rise,rr,,,,,,
586,644,3,2,0,4,1,0,,0,rise,dr,rise,dr,,,,,,
587,645,8,1,0,5,4,0,,0,rise,dr,rise,dr,,,,,,
588,646,2,3,0,2,3,0,,1,down,rd,down,rd,,,,,,
589,647,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,,,,
590,648,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
591,649,1,2,0,1,2,0,,0,down,dd,down,dd,,,,,,
592,650,4,1,0,2,3,0,,1,rise,rr,down,rd,,,,,,
593,651,4,4,0,4,4,0,,1,-1,r-1,-1,r-1,,,,,,
594,652,2,2,0,1,3,0,,1,-1,r-1,down,rd,,,,,,
595,653,4,4,0,4,4,0,,1,-1,r-1,-1,r-1,,,,,,
596,654,5,2,0,4,3,0,,1,rise,rr,rise,rr,,,,,,
597,655,1,1,0,0,2,0,,1,-1,r-1,down,rd,,,,,,
598,656,0,4,0,0,4,0,,0,down,dd,down,dd,,,,,,
599,657,4,2,0,3,3,0,,0,rise,dr,-1,d-1,,,,,,
600,658,3,2,0,3,2,0,,0,rise,dr,rise,dr,,,,,,
601,659,1,5,0,3,3,0,,1,down,rd,-1,r-1,,,,,,
602,660,6,2,0,6,2,0,,0,rise,dr,rise,dr,,,,,,
603,661,1,1,0,0,2,0,,1,-1,r-1,down,rd,,,,,,
604,662,1,3,0,1,3,0,,0,down,dd,down,dd,,,,,,
605,663,3,0,0,2,1,0,,1,rise,rr,rise,rr,,,,,,
606,664,4,1,0,2,3,0,,1,rise,rr,down,rd,,,,,,
607,665,1,3,0,1,3,0,,0,down,dd,down,dd,,,,,,
608,666,2,2,0,1,3,0,,0,-1,d-1,down,dd,,,,,,
609,667,3,2,0,1,4,0,,0,rise,dr,down,dd,,,,,,
610,668,3,2,0,3,2,0,,1,rise,rr,rise,rr,,,,,,
611,669,2,2,0,1,3,0,,0,-1,d-1,down,dd,,,,,,
612,670,2,3,0,2,3,0,,0,down,dd,down,dd,,,,,,
613,671,5,2,0,4,3,0,,1,rise,rr,rise,rr,,,,,,
614,672,2,2,0,0,4,0,,1,-1,r-1,down,rd,,,,,,
615,673,2,2,0,2,2,0,,1,-1,r-1,-1,r-1,,,,,,
616,674,2,0,0,0,2,0,,1,rise,rr,down,rd,,,,,,
617,675,2,1,0,2,1,0,,0,rise,dr,rise,dr,,,,,,
618,676,5,4,0,5,4,0,,1,rise,rr,rise,rr,,,,,,
619,677,3,4,0,1,6,0,,0,down,dd,down,dd,,,,,,
620,678,2,3,0,2,3,0,,0,down,dd,down,dd,,,,,,
621,679,3,2,0,3,2,0,,0,rise,dr,rise,dr,,,,,,
622,680,1,0,0,1,0,0,,1,rise,rr,rise,rr,,,,,,
623,681,4,2,0,4,2,0,,0,rise,dr,rise,dr,,,,,,
624,682,1,4,0,1,4,0,,1,down,rd,down,rd,,,,,,
625,683,0,4,0,1,3,0,,1,down,rd,down,rd,,,,,,
626,684,3,2,0,4,1,0,,0,rise,dr,rise,dr,,,,,,
627,685,2,1,0,2,1,0,,0,rise,dr,rise,dr,,,,,,
628,686,1,3,0,3,1,0,,1,down,rd,rise,rr,,,,,,
629,687,1,3,0,2,2,0,,0,down,dd,-1,d-1,,,,,,
630,688,2,7,0,3,6,0,,1,down,rd,down,rd,,,,,,
631,689,4,4,0,4,4,0,,0,-1,d-1,-1,d-1,,,,,,
632,690,6,9,0,11,4,0,,1,down,rd,rise,rr,,,,,,
633,691,8,4,0,9,3,0,,0,rise,dr,rise,dr,,,,,,
634,692,5,3,0,5,3,0,,0,rise,dr,rise,dr,,,,,,
635,693,4,4,0,4,4,0,,0,-1,d-1,-1,d-1,,,,,,
636,694,4,2,0,5,1,0,,0,rise,dr,rise,dr,,,,,,
637,695,8,4,0,7,5,0,,1,rise,rr,rise,rr,,,,,,
638,696,5,5,0,6,4,0,,1,-1,r-1,rise,rr,,,,,,
639,697,15,5,0,12,8,0,,,,,,,,,,,,
640,698,5,2,0,4,3,0,,,,,,,,,,,,
641,699,4,2,0,5,1,0,,,,,,,,,,,,
642,700,5,1,0,4,2,0,,,,,,,,,,,,
643,701,4,5,0,4,5,0,,,,,,,,,,,,
644,702,4,2,0,3,3,0,,,,,,,,,,,,
645,703,4,2,0,4,2,0,,,,,,,,,,,,
646,704,4,3,0,5,2,0,,,,,,,,,,,,
647,705,4,4,0,5,3,0,,,,,,,,,,,,
648,706,10,3,0,8,5,0,,,,,,,,,,,,
649,707,2,4,0,2,4,0,,,,,,,,,,,,
650,708,7,3,0,7,3,0,,,,,,,,,,,,
651,709,3,1,0,3,1,0,,,,,,,,,,,,
652,710,2,3,0,2,3,0,,,,,,,,,,,,
653,711,8,1,0,6,3,0,,,,,,,,,,,,
654,712,6,2,0,3,5,0,,,,,,,,,,,,
655,713,6,2,0,7,1,0,,,,,,,,,,,,
656,714,2,2,0,3,1,0,,,,,,,,,,,,
657,715,4,1,0,2,3,0,,,,,,,,,,,,
658,716,3,6,0,2,7,0,,,,,,,,,,,,
659,717,4,2,0,1,5,0,,,,,,,,,,,,
660,718,3,5,0,2,6,0,,,,,,,,,,,,
661,719,1,7,0,1,7,0,,,,,,,,,,,,
662,720,5,2,0,3,4,0,,,,,,,,,,,,
663,721,3,0,0,3,0,0,,,,,,,,,,,,
664,722,4,2,0,2,4,0,,,,,,,,,,,,
665,723,3,4,0,3,4,0,,,,,,,,,,,,
666,724,5,3,0,4,4,0,,,,,,,,,,,,
667,725,2,4,0,3,3,0,,,,,,,,,,,,
668,726,6,4,0,3,7,0,,,,,,,,,,,,
669,727,7,4,0,7,4,0,,,,,,,,,,,,
670,728,4,4,0,4,4,0,,,,,,,,,,,,
671,729,4,5,0,4,5,0,,,,,,,,,,,,
672,730,1,4,0,1,4,0,,,,,,,,,,,,
673,731,1,6,0,2,5,0,,,,,,,,,,,,
674,732,4,0,0,4,0,0,,,,,,,,,,,,
675,733,3,7,0,3,7,0,,,,,,,,,,,,
676,734,6,2,0,3,5,0,,,,,,,,,,,,
677,735,2,0,0,2,0,0,,,,,,,,,,,,
678,736,1,0,0,1,0,0,,,,,,,,,,,,
679,737,3,3,0,3,3,0,,,,,,,,,,,,
