,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1
549,607,8,18,0,12,14,0
550,608,12,19,0,21,10,0
551,609,6,12,0,8,10,0
552,610,20,6,0,13,13,0
553,611,13,14,0,10,17,0
554,612,18,9,0,10,17,0
555,613,14,14,0,8,20,0
556,614,10,11,0,13,8,0
557,615,13,5,0,9,9,0
558,616,10,11,0,7,14,0
559,617,11,12,0,15,8,0
560,618,16,6,0,13,9,0
561,619,10,8,0,10,8,0
562,620,15,10,0,11,14,0
563,621,14,5,0,9,10,0
564,622,13,5,0,6,12,0
565,623,23,14,0,24,13,0
566,624,16,9,0,12,13,0
567,625,15,10,0,14,11,0
568,626,15,10,0,13,12,0
569,627,19,5,0,15,9,0
570,628,22,7,0,20,9,0
571,629,16,8,0,10,14,0
572,630,12,13,0,7,18,0
573,631,21,3,0,16,8,0
574,632,12,17,0,14,15,0
575,633,10,13,0,10,13,0
576,634,20,6,0,20,6,0
577,635,15,6,0,8,13,0
578,636,--,--,--,--,--,--
579,637,--,--,--,--,--,--
580,638,--,--,--,--,--,--
581,639,4,19,0,6,17,0
582,640,13,16,0,11,18,0
583,641,13,25,0,12,26,0
584,642,15,19,0,16,18,0
585,643,18,6,0,14,10,0
586,644,4,11,0,5,10,0
587,645,19,9,0,17,11,0
588,646,19,10,0,19,10,0
589,647,9,16,0,15,10,0
590,648,8,12,0,6,14,0
591,649,12,4,0,14,2,0
592,650,21,5,0,20,6,0
593,651,9,13,0,16,6,0
594,652,12,9,0,14,7,0
595,653,14,15,0,13,16,0
596,654,11,16,0,9,18,0
597,655,15,10,0,16,9,0
598,656,10,9,0,10,9,0
599,657,10,14,0,9,15,0
600,658,13,23,0,14,22,0
601,659,9,23,0,15,17,0
602,660,12,17,0,13,16,0
603,661,19,14,0,19,14,0
604,662,15,11,0,16,10,0
605,663,26,12,0,28,10,0
606,664,16,16,0,17,15,0
607,665,10,22,0,11,21,0
608,666,15,14,0,17,12,0
609,667,20,12,0,18,14,0
610,668,18,17,0,20,15,0
611,669,16,10,0,17,9,0
612,670,19,17,0,22,14,0
613,671,11,11,0,10,12,0
614,672,21,10,0,21,10,0
615,673,21,9,0,22,8,0
616,674,13,20,0,13,20,0
617,675,4,18,0,5,17,0
618,676,5,24,0,10,19,0
619,677,18,52,0,26,44,0
620,678,5,17,0,3,19,0
621,679,8,16,0,10,14,0
622,680,17,37,0,21,33,0
623,681,18,19,0,21,16,0
624,682,10,23,0,10,23,0
625,683,9,17,0,8,18,0
626,684,17,22,0,17,22,0
627,685,8,15,0,6,17,0
628,686,14,25,0,11,28,0
629,687,14,15,0,14,15,0
630,688,18,20,0,18,20,0
631,689,11,34,0,13,32,0
632,690,8,35,0,8,35,0
633,691,19,22,0,20,21,0
634,692,10,19,0,10,19,0
