gram,TF,DF,TF_IDF,all_TF,all_DF,all_TF_IDF,expected_TF,expected_DF,DF_chisquare,MI,Lift,TF*DF_chisquare
美元漲幅,556,281,2.674570155,2931,1611,10.33278753,12.87221969,7.075109492,10605.46776,0.00011988,39.71669984,5896640.077
作收,979,673,1.33630532,21638,14146,7.307069159,95.02868975,62.12569762,6006.651476,3.26978E-05,10.83287634,5880511.795
行情,1281,715,1.267412838,33573,20956,6.625203416,147.4442278,92.03351615,4216.803359,2.34496E-05,7.768908871,5401725.103
超億,1563,412,2.298145991,23198,9427,8.294191711,101.87982,41.40102867,3317.395774,3.00373E-05,9.951443558,5185089.596
漲幅,1403,701,1.315218503,44573,23456,6.49627117,195.7534794,103.0128915,3471.299336,2.054E-05,6.804973529,4870232.968
億元,4134,882,1.003573127,230294,67067,4.413620359,1011.393709,294.5415073,1171.676901,9.03851E-06,2.994484574,4843712.31
前五大,730,189,3.424453977,3231,1179,11.04206555,14.18974474,5.177873427,6525.956011,0.000110175,36.50147163,4763947.888
買超前,464,237,2.889636525,2188,1252,10.51428994,9.609149329,5.498471188,9746.883454,0.000130101,43.10289022,4522553.922
賣超,2302,460,2.181511386,47226,17674,7.222611399,207.4047926,77.61979215,1883.728612,1.78879E-05,5.926323522,4336343.265
萬張,888,369,2.352609064,10388,5595,8.891428018,45.62150056,24.57184209,4827.914632,4.53277E-05,15.01718913,4287188.193
超前,925,254,3.006451549,6006,2864,9.859427431,26.3768514,12.57797243,4633.86255,6.09534E-05,20.19403377,4286322.859
賣超前五大,362,183,3.204303558,1296,651,11.13135921,5.691708195,2.859029348,11350.27499,0.0001932,64.0077375,4108799.547
族群,1264,533,1.788918677,28357,15348,7.27479528,124.536859,67.4045813,3216.088428,2.38678E-05,7.907474384,4065135.773
元漲幅,600,315,2.51077963,4872,3107,9.506127129,21.39660673,13.64516772,6655.450254,6.96797E-05,23.08509551,3993270.152
賣超前五,379,189,3.172110051,1419,754,10.97308338,6.231893463,3.311379613,10412.6581,0.000172277,57.07590856,3946397.419
指數,3671,792,1.205732158,190907,59724,4.673411827,838.4158459,262.292886,1069.756908,9.11409E-06,3.01952528,3927077.609
聯電近,203,202,2.836216298,474,471,10.46569249,2.081689571,2.068514321,19324.30371,0.000294759,97.65462969,3922833.653
賣超前五大為,356,178,3.240495659,1284,642,11.14526465,5.639007193,2.819503596,10884.25862,0.000190556,63.13168042,3874796.068
買超前五大為,339,178,3.221105972,1244,642,11.10797969,5.463337187,2.819503596,10884.25862,0.000190556,63.13168042,3689763.672
權值,759,483,1.858309337,14045,9357,7.973967967,61.68213086,41.09360616,4752.108155,3.54771E-05,11.75365331,3606850.09
日上漲美元漲,275,275,2.488461414,1281,1281,9.910186185,5.625831942,5.625831942,12898.08213,0.000147544,48.88165925,3546972.585
漲美元漲幅折,275,275,2.488461414,1281,1281,9.910186185,5.625831942,5.625831942,12898.08213,0.000147544,48.88165925,3546972.585
美元漲幅折台,275,275,2.488461414,1281,1281,9.910186185,5.625831942,5.625831942,12898.08213,0.000147544,48.88165925,3546972.585
元漲幅折台股,275,275,2.488461414,1281,1281,9.910186185,5.625831942,5.625831942,12898.08213,0.000147544,48.88165925,3546972.585
漲幅折台股元,275,275,2.488461414,1281,1281,9.910186185,5.625831942,5.625831942,12898.08213,0.000147544,48.88165925,3546972.585
元作收上漲美,275,275,2.488461414,1282,1282,9.909611685,5.630223693,5.630223693,12887.60098,0.000147429,48.84353003,3544090.27
作收上漲美元,275,275,2.488461414,1282,1282,9.909611685,5.630223693,5.630223693,12887.60098,0.000147429,48.84353003,3544090.27
收上漲美元漲,275,275,2.488461414,1282,1282,9.909611685,5.630223693,5.630223693,12887.60098,0.000147429,48.84353003,3544090.27
漲美元漲幅由,275,275,2.488461414,1282,1282,9.909611685,5.630223693,5.630223693,12887.60098,0.000147429,48.84353003,3544090.27
美元漲幅由於,275,275,2.488461414,1282,1282,9.909611685,5.630223693,5.630223693,12887.60098,0.000147429,48.84353003,3544090.27
元漲幅由於每,275,275,2.488461414,1282,1282,9.909611685,5.630223693,5.630223693,12887.60098,0.000147429,48.84353003,3544090.27
漲幅由於每單,275,275,2.488461414,1282,1282,9.909611685,5.630223693,5.630223693,12887.60098,0.000147429,48.84353003,3544090.27
美元作收上漲,275,275,2.488461414,1285,1285,9.907889497,5.643398943,5.643398943,12856.25547,0.000147084,48.72949844,3535470.254
日行情如下聯,191,191,2.893312427,442,442,10.47987124,1.941153566,1.941153566,18413.40532,0.000296994,98.39510037,3516960.417
行情如下聯電,191,191,2.893312427,442,442,10.47987124,1.941153566,1.941153566,18413.40532,0.000296994,98.39510037,3516960.417
情如下聯電近,191,191,2.893312427,442,442,10.47987124,1.941153566,1.941153566,18413.40532,0.000296994,98.39510037,3516960.417
如下聯電近十,191,191,2.893312427,442,442,10.47987124,1.941153566,1.941153566,18413.40532,0.000296994,98.39510037,3516960.417
下聯電近十個,191,191,2.893312427,442,442,10.47987124,1.941153566,1.941153566,18413.40532,0.000296994,98.39510037,3516960.417
聯電近十個交,191,191,2.893312427,442,442,10.47987124,1.941153566,1.941153566,18413.40532,0.000296994,98.39510037,3516960.417
電每股為元最,274,274,2.492755666,1303,1303,9.897597425,5.722450446,5.722450446,12577.27686,0.000144525,47.88158545,3446173.861
電相當於台股,274,274,2.492755666,1304,1304,9.897027696,5.726842196,5.726842196,12567.22025,0.000144414,47.84486644,3443418.348
電普通股以月,274,274,2.492755666,1304,1304,9.897027696,5.726842196,5.726842196,12567.22025,0.000144414,47.84486644,3443418.348
以美元作收上,270,270,2.510039948,1280,1280,9.910760903,5.621440192,5.621440192,12433.82843,0.000144974,48.03039626,3357133.676
電每股,284,284,2.450283564,1848,1516,9.982060899,8.115954278,6.657893228,11553.00056,0.000128753,42.65613615,3281052.159
買超億元,793,321,2.559318998,9916,4976,9.110045193,43.54859449,21.85334875,4094.965947,4.43365E-05,14.68882429,3247307.996
前五,769,200,3.349019546,4262,1983,10.29118002,18.71763914,8.708840548,4201.742756,6.93177E-05,22.96516958,3231140.179
鴻海,1024,558,1.669202316,40376,17448,7.167314913,177.3213041,76.62725662,3023.985567,2.19799E-05,7.282004141,3096561.221
電相,287,287,2.437741371,1669,1659,9.713249811,7.329831001,7.285913499,10738.52581,0.000118897,39.39107979,3081956.909
買超億,809,330,2.518082931,11119,5890,8.831170467,48.83186992,25.86740838,3575.798236,3.85066E-05,12.75736615,2892820.773
外資買超,509,342,2.330920872,5237,4243,8.931110752,22.99959554,18.63419589,5611.481381,5.53975E-05,18.35335434,2856244.023
個交易日行情,469,276,2.650417593,4392,2622,9.756985177,19.28856666,11.51516889,6074.789396,7.23458E-05,23.96838488,2849076.227
張外資,265,258,2.571690484,1383,1351,9.894784538,6.073790458,5.933254453,10708.73409,0.000131251,43.48372416,2837814.533
資買超,531,353,2.291262011,5787,4716,8.79459221,25.41505812,20.71149371,5331.129322,5.14444E-05,17.04367657,2830829.67
日行情,476,283,2.615060093,4656,2867,9.629166307,20.4479887,12.59114768,5807.329822,6.78415E-05,22.47610839,2764288.995
億元投信,389,386,2.068800679,4405,4354,8.736827011,19.34565941,19.12168015,7039.11479,6.09307E-05,20.18651065,2738215.653
元漲,620,329,2.448622527,7724,4936,8.929355705,33.92187816,21.67767874,4356.878348,4.58097E-05,15.17690173,2701264.576
晶圓,792,378,2.282201413,17550,8112,8.449041373,77.07521514,35.62587722,3290.306067,3.20259E-05,10.61026505,2605922.405
外資買,572,365,2.256579817,7718,5801,8.585989621,33.89552766,25.47654262,4524.796784,4.32441E-05,14.32690477,2588183.76
