gram,TF,DF,TF_IDF,all_TF,all_DF,all_TF_IDF,expected_TF,expected_DF,DF_chisquare,MI,Lift,TF*DF_chisquare
大法人合計,247,241,2.0517494,3771,3527,9.028524559,11.04085988,10.32646852,5152.804952,7.04433E-05,23.33808499,1272742.823
收觀察盤面變,122,122,2.77899513,482,482,10.44946125,1.411215715,1.411215715,10304.34592,0.00026094,86.45028447,1257130.202
元自營商,287,258,1.988807787,4952,4668,8.690482713,14.49863116,13.66712647,4368.039853,5.69793E-05,18.87741367,1253627.438
超億元外資,198,185,2.37228029,1837,1749,9.71123382,5.378430017,5.120780675,6318.672015,0.000109046,36.12730397,1251097.059
多單,606,250,2.227239882,41081,8406,8.957327585,120.2783253,24.61136784,2064.088263,3.06605E-05,10.15790758,1250837.488
次族群,147,144,2.623834953,854,808,10.2721682,2.500369752,2.365689414,8479.675233,0.00018373,60.87020516,1246512.259
資餘額為億元,138,138,2.659140513,704,701,10.29036136,2.061194737,2.052411237,9004.894613,0.00020295,67.23798697,1242675.457
融資餘額為億,138,138,2.659140513,705,702,10.28962769,2.064122571,2.05533907,8991.679817,0.000202661,67.14220636,1240851.815
次族群部,126,126,2.748172138,538,538,10.40680485,1.575174387,1.575174387,9828.45922,0.000241444,79.99114322,1238385.862
權值股,440,281,1.960415874,11654,8079,8.171554208,34.12097083,23.65396631,2799.825627,3.58572E-05,11.87961445,1231923.276
賣出金額為億,139,139,2.651940531,739,728,10.28322053,2.163668907,2.13146274,8788.798483,0.000196839,65.2134318,1221642.989
出金額為億元,139,139,2.651940531,751,740,10.27429686,2.198802909,2.166596741,8641.839017,0.000193647,64.15591669,1201215.623
外資買,381,248,2.121053673,7718,5801,8.585989621,22.59701844,16.98436175,3142.197859,4.40735E-05,14.60166733,1197177.384
元外資,264,246,2.038716943,4668,4135,8.888857172,13.66712647,12.10659125,4518.706012,6.13321E-05,20.31950984,1192938.387
立光,531,328,1.754139152,26246,12838,7.650243131,76.84391629,37.58752562,2243.813709,2.63393E-05,8.72629934,1191465.08
大立光,530,327,1.75869238,26137,12770,7.660186353,76.52478245,37.38843295,2243.337128,2.63989E-05,8.746020473,1188968.678
作收觀察盤面,118,118,2.810433291,468,468,10.4601255,1.370226047,1.370226047,9927.197198,0.000259935,86.11717772,1171409.269
成交量能為億,122,122,2.77899513,519,518,10.42437178,1.519545552,1.516617719,9571.459722,0.000242805,80.44215659,1167718.086
鴻海,641,356,1.657208047,40376,17448,7.167314913,118.2142027,51.08483775,1819.977517,2.10345E-05,6.968799662,1166605.589
在次族群部份,118,118,2.810433291,473,473,10.45631843,1.384865214,1.384865214,9819.792947,0.000257187,85.20684815,1158735.568
次族群部份,118,118,2.810433291,474,474,10.45555678,1.387793047,1.387793047,9798.584043,0.000256644,85.02708687,1156232.917
外資台指期,151,148,2.595666527,969,944,10.14620404,2.837070597,2.763874761,7631.869711,0.000161629,53.54801241,1152412.326
超億元外資買,151,151,2.567961006,1016,984,10.12634307,2.974678768,2.880988099,7615.179562,0.000158201,52.41257334,1149892.114
資台指期,151,148,2.595666527,971,946,10.14481838,2.842926264,2.769730428,7615.120586,0.000161287,53.43480308,1149883.208
交量能為億元,121,121,2.786795938,515,514,10.42743993,1.507834218,1.504906385,9488.34927,0.000242689,80.40367243,1148090.262
量能為億元,121,121,2.786795938,518,517,10.42513869,1.516617719,1.513689885,9431.904412,0.000241281,79.9371134,1141260.434
買超億,480,219,2.379287885,11119,5890,8.831170467,32.55457995,17.24493892,2360.408747,3.83316E-05,12.69937812,1132996.198
收盤,721,434,1.347507363,53626,27276,6.213190715,157.0079957,79.85958473,1570.44936,1.64035E-05,5.434538653,1132293.989
三大法人,495,322,1.769405036,19056,12239,7.563536883,55.79279391,35.83375339,2285.306811,2.7123E-05,8.985941173,1131226.872
電子傳產,156,108,3.044158882,695,535,10.72632821,2.034844236,1.566390887,7231.983564,0.000208113,68.94830716,1128189.436
億元外資買超,151,151,2.567961006,1039,1007,10.11060818,3.042018937,2.948328267,7434.48338,0.000154588,51.21546392,1122606.99
子傳產,156,108,3.044158882,700,540,10.71948585,2.049483403,1.581030054,7163.049896,0.000206186,68.30989691,1117435.784
為元,388,366,1.51911891,18195,12883,7.417628377,53.27192932,37.71927812,2857.112801,2.92882E-05,9.70326099,1108559.767
下第一,147,147,2.595472125,958,943,10.13541662,2.804864429,2.760946928,7535.423525,0.000160707,53.24260257,1107707.258
成交,906,463,1.270992947,84634,35841,5.725091055,247.7942548,104.9364781,1221.781863,1.33177E-05,4.412193057,1106934.368
子傳產金融,113,104,2.960687389,406,370,10.65245417,1.188700374,1.08329837,9777.405527,0.000289774,96.00309836,1104846.825
電子傳產金融,113,104,2.960687389,406,370,10.65245417,1.188700374,1.08329837,9777.405527,0.000289774,96.00309836,1104846.825
金額為億元類,101,101,2.951596617,313,313,10.57290665,0.916411865,0.916411865,10930.37421,0.000332664,110.2124535,1103967.796
額為億元類股,101,101,2.951596617,313,313,10.57290665,0.916411865,0.916411865,10930.37421,0.000332664,110.2124535,1103967.796
為億元類股成,101,101,2.951596617,313,313,10.57290665,0.916411865,0.916411865,10930.37421,0.000332664,110.2124535,1103967.796
億元類股成交,101,101,2.951596617,314,314,10.57225244,0.919339698,0.919339698,10894.92664,0.000331604,109.8614584,1100387.59
大法人,495,322,1.769405036,19409,12522,7.522457721,56.82631911,36.66233025,2220.74225,2.651E-05,8.782856894,1099267.414
元類股成交比,101,101,2.951596617,316,316,10.57093882,0.925195365,0.925195365,10824.7046,0.000329505,109.1661327,1093295.165
股成交比重電,101,101,2.951596617,316,316,10.57093882,0.925195365,0.925195365,10824.7046,0.000329505,109.1661327,1093295.165
成交比重電子,101,101,2.951596617,316,316,10.57093882,0.925195365,0.925195365,10824.7046,0.000329505,109.1661327,1093295.165
交比重電子傳,101,101,2.951596617,316,316,10.57093882,0.925195365,0.925195365,10824.7046,0.000329505,109.1661327,1093295.165
比重電子傳產,101,101,2.951596617,316,316,10.57093882,0.925195365,0.925195365,10824.7046,0.000329505,109.1661327,1093295.165
重電子傳產金,101,101,2.951596617,316,316,10.57093882,0.925195365,0.925195365,10824.7046,0.000329505,109.1661327,1093295.165
資買,398,254,2.094908819,9164,6893,8.34531949,26.83066558,20.18155586,2708.961847,3.79886E-05,12.58574918,1078166.815
掛牌,339,327,1.667044957,14185,9666,7.907947673,41.53131725,28.30043797,3152.651859,3.48762E-05,11.5545915,1068748.98
傳產,434,243,2.186733189,9550,6924,8.365749844,27.96080929,20.27231869,2447.061965,3.61807E-05,11.98678867,1062024.893
社台北年月日,326,326,1.663698719,9363,9363,7.699779018,27.41330444,27.41330444,3252.217002,3.58947E-05,11.89203588,1060222.743
央社台北年月,326,326,1.663698719,9366,9366,7.699302812,27.42208794,27.42208794,3250.984016,3.58832E-05,11.88822677,1059820.789
中央社台北年,326,326,1.663698719,9368,9368,7.698985404,27.4279436,27.4279436,3250.162467,3.58756E-05,11.88568872,1059552.964
跌漲跌,198,198,2.275050221,2344,2343,9.397388796,6.862841568,6.859913735,5325.800585,8.71207E-05,28.86333672,1054508.516
下第一國際,120,120,2.79463561,548,548,10.39921178,1.604452722,1.604452722,8736.627404,0.000225751,74.79185793,1048395.288
如下第一國際,120,120,2.79463561,548,548,10.39921178,1.604452722,1.604452722,8736.627404,0.000225751,74.79185793,1048395.288
相當,654,354,1.670339642,25015,19021,6.699123768,73.23975334,55.69031974,1597.919814,1.91866E-05,6.356580491,1045039.558
族群部,129,129,2.725442788,691,682,10.31453122,2.023132903,1.996782402,8077.904366,0.000195,64.60393476,1042049.663
跌點,636,352,1.674392392,33983,18547,6.924872489,99.49656357,54.30252669,1632.037973,1.95658E-05,6.482202974,1037976.151
類股成交比重,101,101,2.951596617,335,333,10.56731282,0.9808242,0.974968533,10261.87675,0.000312684,103.5930869,1036449.551
美股,814,374,1.618607958,45216,24740,6.372528373,132.3849165,72.43459914,1255.500715,1.55848E-05,5.163278384,1021977.582
近十,200,200,2.263654048,2759,2512,9.415307216,8.077892443,7.354717585,5046.040777,8.20802E-05,27.1934303,1009208.155
統一證券,143,143,2.623459017,1218,965,10.35996788,3.566101122,2.825359263,6954.488996,0.00015277,50.61303242,994491.9264
下第一國際股,117,117,2.818392187,537,537,10.40756479,1.572246554,1.572246554,8474.221956,0.000224616,74.41580948,991483.9688
第一國際股市,117,117,2.818392187,539,539,10.40604502,1.578102221,1.578102221,8441.921133,0.000223782,74.13968403,987704.7726
億元其中外資,168,166,2.472727374,1528,1523,9.78049489,4.473729486,4.459090319,5852.194872,0.000112366,37.22732399,983168.7385
後市行情,120,117,2.828492392,575,566,10.40453839,1.683504224,1.657153723,8028.206436,0.000213107,70.60298532,963384.7723
盤面,444,231,2.272902276,9578,7000,8.344269603,28.04278863,20.49483403,2162.126555,3.40206E-05,11.27113299,959984.1903
淨多單部位,154,154,2.547629166,1291,1245,9.96922642,3.779832963,3.645152625,6201.819912,0.00012752,42.24788805,955080.2664
盤價,506,311,1.82989238,28095,13453,7.581256366,82.25748031,39.38814318,1872.97483,2.38325E-05,7.895777127,947725.2638
多單部位,158,158,2.520908502,1419,1352,9.920118445,4.154595642,3.958430802,5994.497878,0.000120478,39.91480662,947130.6646
面觀察,239,158,2.66256487,2413,1997,9.728608054,7.064862075,5.846883367,3959.471987,8.15656E-05,27.02294369,946313.8049
通股,307,305,1.752189027,21253,8735,8.411796567,62.22524396,25.57462504,3052.969107,3.59969E-05,11.92588355,937261.5158
析如下第一國,113,113,2.850638859,519,519,10.42125996,1.519545552,1.519545552,8178.689812,0.00022446,74.36433864,924191.9487
口淨多單,156,154,2.552108071,1658,1322,10.1227576,4.854347833,3.870595799,5823.092665,0.000120093,39.78715629,908402.4557
三大,676,352,1.686053875,32060,21435,6.547151574,93.86633988,62.75810965,1333.068692,1.69296E-05,5.608836882,901154.4358
價元,318,316,1.705978494,20801,9945,8.097424476,60.90186325,29.1173035,2826.555748,3.27575E-05,10.8526533,898844.7278
台股後市行情,97,96,3.000213704,334,333,10.56342068,0.977896367,0.974968533,9261.58773,0.000297204,98.46471626,898374.0098
單部位,158,158,2.520908502,1724,1422,10.02926384,5.047584839,4.163379142,5684.25433,0.000114548,37.94994273,898112.1841
張第,574,36,5.377007814,2367,271,13.50427016,6.930181737,0.79344286,1562.181384,0.00013695,45.37188724,896692.1142
一國際股市部,112,112,2.858805675,524,524,10.41745299,1.534184719,1.534184719,7953.86383,0.000220351,73.00294326,890832.7489
股後市行情,97,96,3.000213704,338,337,10.56062012,0.989607701,0.986679867,9149.402257,0.000293677,97.29599559,887492.0189
為聯電,92,86,3.118714747,292,261,10.75510976,0.854927363,0.764164526,9507.308178,0.000339693,112.5412095,874672.3524
群創,287,243,2.078759163,9404,5789,8.741202774,27.53334561,16.94922775,3014.82477,4.32744E-05,14.33693639,865254.7089
自營商,468,295,1.89733256,27492,12400,7.760679634,80.49199675,36.30513457,1843.348997,2.45261E-05,8.125572414,862687.3305
賣超億元自營,178,164,2.509089842,1874,1791,9.686923184,5.486759854,5.243749679,4806.397818,9.4401E-05,31.27532968,855538.8116
傳產金融,126,110,2.931025358,651,590,10.48495796,1.906019565,1.727421726,6786.386342,0.000192207,63.67871746,855084.6791
點成交量能為,104,104,2.925733068,440,439,10.48498546,1.288246711,1.285318877,8208.317721,0.000244229,80.9137731,853665.043
信賣超億元,173,172,2.432560399,1963,1922,9.600995985,5.74733703,5.627295859,4918.85932,9.22578E-05,30.56530247,850962.6624
投信賣超億元,173,172,2.432560399,1963,1922,9.600995985,5.74733703,5.627295859,4918.85932,9.22578E-05,30.56530247,850962.6624
成交量,474,341,1.668867161,34782,16361,7.239311608,101.8359025,47.9022828,1793.364884,2.14869E-05,7.118658653,850054.9548
投信賣超,202,182,2.401999985,2814,2513,9.432713371,8.238923282,7.357645418,4145.34138,7.46633E-05,24.73617437,837358.9588
信賣超,202,182,2.401999985,2817,2516,9.431388775,8.247706782,7.366428919,4139.982139,7.45743E-05,24.70667972,836276.392
類股成,105,105,2.917207321,472,465,10.48092039,1.381937381,1.361442547,7889.389544,0.00023279,77.12407715,828385.9021
終場指數,163,149,2.613389149,1513,1432,9.882319406,4.429811985,4.192657477,5001.402229,0.000107268,35.53831927,815228.5633
美元,1325,502,1.179234122,248536,59624,4.7633132,727.6720102,174.5691406,614.1461617,8.67982E-06,2.875651436,813743.6642
營商,471,297,1.887988888,28619,13201,7.637234727,83.79166503,38.65032915,1726.881863,2.31941E-05,7.68428126,813361.3576
元中,313,312,1.721965055,13640,10443,7.70941076,39.93564803,30.57536455,2590.315001,3.08005E-05,10.20429371,810768.5953
震盪,621,309,1.884458184,30561,17606,6.991200788,89.47751756,51.54743543,1285.841331,1.80936E-05,5.994478628,798507.4668
元投信賣超億,168,167,2.464314532,1896,1884,9.604365077,5.55117219,5.516038189,4727.499889,9.13827E-05,30.2753524,794219.9813
億元投信賣超,168,167,2.464314532,1902,1890,9.601536632,5.56873919,5.533605189,4711.466713,9.10926E-05,30.17924017,791526.4078
元其中外資,168,166,2.472727374,1879,1874,9.605461454,5.501399021,5.486759854,4695.758689,9.13202E-05,30.25465018,788887.4598
為億元三大法,98,98,2.977902133,402,402,10.5099207,1.17698904,1.17698904,7964.981092,0.000251321,83.26330718,780568.147
匯市,305,301,1.770739431,12040,9943,7.736310236,35.25111454,29.11144783,2539.323542,3.12088E-05,10.33957506,774493.6802
一證券,143,143,2.623459017,1595,1226,10.21999983,4.669894326,3.589523789,5414.445486,0.000120247,39.83815358,774265.7045
超億元投信賣,166,165,2.477189835,1879,1867,9.612407733,5.501399021,5.46626502,4656.015122,9.11104E-05,30.18514459,772898.5103
一證券台股,101,101,2.951596617,444,444,10.47835644,1.299958044,1.299958044,7646.476291,0.000234513,77.69481518,772294.1054
統一證券台股,101,101,2.951596617,444,444,10.47835644,1.299958044,1.299958044,7646.476291,0.000234513,77.69481518,772294.1054
額為億元,293,161,2.703969042,6907,3004,9.884371826,20.22254552,8.795211634,2633.967045,5.52528E-05,18.30541512,771752.3443
產金融,126,110,2.931025358,721,654,10.43435543,2.110967906,1.914803065,6101.102514,0.000173398,57.44716101,768738.9168
信賣超億元自,156,155,2.54313227,1576,1572,9.754167067,4.614265491,4.602554157,4914.530268,0.00010165,33.67695299,766666.7218
點開出後,134,134,2.6882686,1033,1026,10.07169084,3.024451937,3.003957103,5712.452831,0.000134644,44.60782742,765468.6793
商賣超億元外,96,96,2.995692948,386,386,10.52174904,1.130143705,1.130143705,7963.845298,0.000256397,84.94494952,764529.1486
成交量能,205,157,2.619173671,2372,2121,9.597622144,6.944820904,6.209934712,3661.494821,7.6311E-05,25.28206934,750606.4384
察盤面變化三,92,92,3.031907251,349,349,10.54840822,1.021813868,1.021813868,8100.330803,0.000271763,90.03596727,745230.4339
盤面變化三大,92,92,3.031907251,349,349,10.54840822,1.021813868,1.021813868,8100.330803,0.000271763,90.03596727,745230.4339
淨多單,353,210,2.357682335,9951,5995,8.708463812,29.1348705,17.55236143,2110.034808,3.61126E-05,11.96420213,744842.2873
股股,320,316,1.707304756,19988,11687,7.699485804,58.52153467,34.21758934,2320.482784,2.78748E-05,9.235016438,742554.4908
後市行情分析,82,82,3.126399539,252,252,10.60837246,0.737814025,0.737814025,8950.145489,0.000335461,111.139118,733911.9301
市行情分析如,82,82,3.126399539,252,252,10.60837246,0.737814025,0.737814025,8950.145489,0.000335461,111.139118,733911.9301
